"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","early.stop"
4,"OBD.bf",3.86,6.64,10.98,56.44,21.9,
4,"MTD.ours1",0,0.28,2.66,27.44,69.62,0
4,"OBD.ours1",2.14,6.74,11.62,57.48,21.42,
4,"MTD.ours2",0.02,0.2,3.04,25.9,70.84,0
4,"OBD.ours2",2.5,6.68,11.38,57.82,21.28,
4,"MTD.ours3",0,0.26,2.56,25.82,71.36,0
4,"OBD.ours3",2.04,6.88,13.98,54.52,22.14,
4,"MTD.titeet",0,0.2,2.6,38.5,58.7,0.1
4,"OBD.titeet",8.8,13,14.6,42.4,21.1,
4,"MTD.tite12",0,0.5,4.4,19.2,75.7,0.2
4,"OBD.tite12",7.5,11.1,11.4,48.2,21.6,
4,"MTD.bfet",,,,,,0.2
4,"OBD.bfet",3.2,6.7,11.9,55.9,22.1,
9,"MTD.ours0",0.2,6.32,39.68,37.2,16.6,0
9,"OBD.ours0",7.24,50.84,28.06,11.66,2.08,
9,"MTD.bf",0.14,6.06,40.88,37.6,15.32,0
9,"OBD.bf",7.7,49.38,28.46,11.82,2.6,
9,"MTD.ours1",0.14,5.66,39.26,37.44,17.5,0
9,"OBD.ours1",7.5,51.14,27.08,11.56,2.58,
9,"MTD.ours2",0.08,5.74,40.04,37.24,16.9,0
9,"OBD.ours2",8.82,50.3,26.84,11.08,2.82,
9,"MTD.ours3",0.14,5.9,38.44,37.52,18,0
9,"OBD.ours3",8.66,47.62,27.78,12.86,2.94,
9,"MTD.titeet",0,16.7,45.3,28.1,9.9,0.1
9,"OBD.titeet",16.6,43.1,24,12.2,4,
9,"MTD.tite12",0,5.5,31.8,34.4,27.8,0.44
9,"OBD.tite12",11.6,44.5,24.4,14.3,4.8,
9,"MTD.bfet",,,,,,0.1
9,"OBD.bfet",7.6,47.9,28.4,13.6,2.5,
3,"MTD.ours0",0.16,2.72,23.26,54.14,19.72,0
3,"OBD.ours0",2.2,6.34,63.1,22.84,4.42,
3,"MTD.bf",0.14,2.62,22.32,56.44,18.48,0
3,"OBD.bf",3.22,6.36,61.58,23.02,5.04,
3,"MTD.ours1",0.12,2.42,24.24,51.66,21.56,0
3,"OBD.ours1",2.6,7.04,62.6,22.6,4.28,
3,"MTD.ours2",0.22,2.56,23.22,52.96,21.04,0
3,"OBD.ours2",2.34,6.84,62.06,23.34,4.28,
3,"MTD.ours3",0.14,2.54,22.08,53.28,21.96,0
3,"OBD.ours3",3.2,7.84,58.16,24.34,5.48,
3,"MTD.titeet",0.1,1.6,36.2,47.7,14.4,0.4
3,"OBD.titeet",8,11.2,50,21.6,8.9,
3,"MTD.tite12",0,1.9,19.2,40.4,37.7,0.7
3,"OBD.tite12",7.3,9,52,23.2,7.8,
3,"MTD.bfet",,,,,,0.6
3,"OBD.bfet",3.9,7.3,55.9,26.8,5.4,
21,"MTD.ours0",37.12,45.94,13.48,1.84,0.36,1.26
21,"OBD.ours0",72.62,21.94,3.26,0.38,0.02,
21,"MTD.bf",35.82,46.38,14.04,2.12,0.32,1.32
21,"OBD.bf",71.84,21.34,4.52,0.5,0.16,
21,"MTD.ours1",36.04,45.78,13.78,2.78,0.34,1.28
21,"OBD.ours1",72.52,21.38,3.62,0.66,0,
21,"MTD.ours2",35.72,45.7,14.48,2.74,0.28,1.08
21,"OBD.ours2",72.82,21.64,3.26,0.6,0.06,
21,"MTD.ours3",35.1,47.38,12.92,2.96,0.4,1.24
21,"OBD.ours3",72.1,20.72,3.94,1.16,0.16,
