"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","early.stop"
23,"MTD.bf",0.14,2.32,22.74,56.68,18.12,0
23,"OBD.bf",2.5,5.3,62.98,23.12,5.32,
23,"MTD.ours1",0.14,2.26,21.98,56.06,19.56,0
23,"OBD.ours1",2.42,5.98,63.12,23.2,4.24,
23,"MTD.ours2",0.12,1.78,23.06,55.58,19.46,0
23,"OBD.ours2",2.1,5.44,64.54,22.6,4.28,
23,"MTD.ours3",0.12,2,22.2,55.88,19.8,0
23,"OBD.ours3",2.26,6.5,59.24,24.9,6.18,
23,"MTD.titeet",0.1,1.8,35.5,49.4,13.1,0.5
23,"OBD.titeet",7.7,11.4,50.4,22.4,7.5,
23,"MTD.tite12",0,1.7,18.4,39.7,39.7,0.54
23,"OBD.tite12",8.3,8.9,49.3,24.6,8.4,
23,"MTD.bfet",,,,,,1.1
23,"OBD.bfet",5.2,6.7,58.4,24.4,4.1,
28,"MTD.ours0",4.46,16.54,34.24,32.18,12.5,0.08
28,"OBD.ours0",43.62,30.88,16.92,7.1,1.4,
28,"MTD.bf",4.14,16.06,34.5,32.06,13.14,0.1
28,"OBD.bf",41.22,29.24,18.3,8.84,2.26,
28,"MTD.ours1",4.64,15.1,35.18,32.2,12.64,0.24
28,"OBD.ours1",43.38,29.78,18.04,6.98,1.56,
28,"MTD.ours2",4.46,15.56,34.76,32.76,12.36,0.1
28,"OBD.ours2",44.46,29.6,17,7.38,1.4,
28,"MTD.ours3",4.18,16.34,34.26,31.84,13.28,0.1
28,"OBD.ours3",43.6,28.12,17,8.62,2.48,
28,"MTD.titeet",16.7,29.5,30.6,18.5,4.5,0.1
28,"OBD.titeet",45.8,27.9,16.3,7.4,2.3,
28,"MTD.tite12",1.4,14.2,32.4,27.8,23.8,0.3
28,"OBD.tite12",36.5,27.6,18.7,12.5,4.4,
28,"MTD.bfet",,,,,,0.3
28,"OBD.bfet",50.4,27.7,15.3,5.3,1,
29,"MTD.ours0",0.08,6.46,40.86,37.46,15.14,0
29,"OBD.ours0",7.16,52.08,27.68,11.2,1.84,
29,"MTD.bf",0.14,5.9,41.72,37.72,14.52,0
29,"OBD.bf",5.98,50.78,28.02,12.34,2.82,
29,"MTD.ours1",0.14,6.26,42.04,37.1,14.46,0
29,"OBD.ours1",8.48,53.28,25.98,10,2.2,
29,"MTD.ours2",0.16,5.72,41.26,38.24,14.62,0
29,"OBD.ours2",8.14,52.72,26.66,10.2,2.22,
29,"MTD.ours3",0.12,6.32,41.46,37.22,14.88,0
29,"OBD.ours3",7.48,50.66,26.34,12.14,3.26,
29,"MTD.titeet",0,17,46,28.3,8.6,0.3
29,"OBD.titeet",16.9,42.7,23.5,12.9,3.8,
29,"MTD.tite12",0,5.2,28.8,36.3,29.2,0.44
29,"OBD.tite12",12.2,41.9,24.6,15.6,5.2,
29,"MTD.bfet",,,,,,0.2
29,"OBD.bfet",8.7,51.9,27.2,10.1,2,
30,"MTD.ours0",1.18,6.74,24.04,32.26,35.76,0.02
30,"OBD.ours0",5.5,45.42,27.1,15.76,5.86,
30,"MTD.bf",0.84,6.88,24.04,33.08,35.16,0
30,"OBD.bf",4.46,45.12,26.44,16.6,7.28,
30,"MTD.ours1",1.16,6,24.8,31.92,36.06,0.06
30,"OBD.ours1",5.44,46.04,25.16,16.1,6.78,
30,"MTD.ours2",1.14,6.64,24,30.72,37.46,0.04
30,"OBD.ours2",5.38,46.02,24.94,16.88,6.5,
30,"MTD.ours3",0.82,6.74,23.7,32.14,36.6,0
30,"OBD.ours3",4.68,44.92,25.64,16.78,7.76,
30,"MTD.titeet",0.3,23.4,33.2,27.1,16,0.5
30,"OBD.titeet",11.8,44.1,23.4,13.7,6.6,
30,"MTD.tite12",0.2,4.8,18.6,29.2,47.1,0.24
30,"OBD.tite12",8.1,37.5,23.3,20.4,10.4,
30,"MTD.bfet",,,,,,0.9
30,"OBD.bfet",8.8,47.7,25.6,12.6,4.5,
35,"MTD.ours0",1.86,22.3,53.66,18.96,3.22,0
35,"OBD.ours0",13.82,20.88,53.86,6.14,0.7,
35,"MTD.bf",1.26,22.58,53.64,19.48,3.04,0
35,"OBD.bf",14.86,21.84,52.36,7.4,1.16,
35,"MTD.ours1",1.9,22.08,53.06,19.8,3.14,0.02
35,"OBD.ours1",16.44,20.28,52,6.46,0.94,
35,"MTD.ours2",2.18,21.8,53.2,19.46,3.3,0.06
35,"OBD.ours2",15.94,20.52,51.04,6.74,1.04,
35,"MTD.ours3",1.36,22.2,52.48,20.32,3.64,0
35,"OBD.ours3",15.54,20.9,49.44,8.62,1.62,
35,"MTD.titeet",0.9,21,55.3,20.3,2.5,3
35,"OBD.titeet",18.9,16.2,45.7,13.7,2.6,
35,"MTD.tite12",0.6,11.6,39.1,28.7,17.8,2.18
35,"OBD.tite12",18.4,17.8,43.7,13.9,4,
35,"MTD.bfet",,,,,,3.2
35,"OBD.bfet",19.4,20.1,48.5,7.5,1.2,
32,"MTD.ours0",2.46,35.74,45.4,14.36,2.04,0
32,"OBD.ours0",15.44,59.46,20.76,3.18,0.26,
32,"MTD.bf",2.12,35.48,46.34,13.5,2.56,0
32,"OBD.bf",14.04,58.82,21.54,4.42,0.7,
32,"MTD.ours1",3.06,35.04,46.06,13.2,2.64,0
32,"OBD.ours1",16.72,59.38,19.32,3.12,0.4,
32,"MTD.ours2",2.78,37.26,43.68,14,2.26,0.02
32,"OBD.ours2",16.9,59.74,18.56,3.22,0.36,
32,"MTD.ours3",2.46,33.8,46.88,13.88,2.98,0
32,"OBD.ours3",16.06,56.34,20.96,4.76,0.82,
32,"MTD.titeet",1.8,44.2,39.3,12.8,1.9,2.7
32,"OBD.titeet",20,47.8,21.2,6.9,1.4,
32,"MTD.tite12",1.2,20.2,37.8,24.4,14.8,1.62
32,"OBD.tite12",19.8,45.1,21.4,9.3,2.9,
32,"MTD.bfet",,,,,,1.3
32,"OBD.bfet",19.5,57.4,17.7,3.6,0.5,
36,"MTD.ours0",0.12,2.3,18.86,57.22,21.5,0
36,"OBD.ours0",4.68,12.4,19.92,53.26,6.8,
36,"MTD.bf",0.14,2.28,18.4,56.48,22.7,0
36,"OBD.bf",7.7,11.28,19.56,51.52,8.74,
36,"MTD.ours1",0.08,2.12,17.86,57.14,22.8,0
36,"OBD.ours1",5.64,13.32,17.76,52.3,8.26,
36,"MTD.ours2",0.08,2.02,18.76,56.74,22.4,0
36,"OBD.ours2",5.82,12.68,17.94,52.56,7.92,
36,"MTD.ours3",0.12,2.2,18.04,56.5,23.14,0
36,"OBD.ours3",4.84,12.32,18.28,51.1,10.6,
36,"MTD.titeet",0.1,2.6,21.2,59.1,17,1
36,"OBD.titeet",12.8,16.5,16.6,42.2,10.8,
36,"MTD.tite12",0,1.6,14.3,38.7,44.7,0.68
36,"OBD.tite12",12,15.2,16,42.7,13.4,
36,"MTD.bfet",,,,,,1.4
36,"OBD.bfet",10.5,12.8,17.8,48.9,8.7,
37,"MTD.ours0",2.56,34.28,47.28,13.22,2.64,0.02
37,"OBD.ours0",55.5,29.72,12.28,2.14,0.22,
37,"MTD.bf",2.32,35.54,46.28,13.64,2.22,0
37,"OBD.bf",50.76,31.92,13.66,3.14,0.48,
37,"MTD.ours1",2.58,34.68,45.62,13.96,3.16,0
37,"OBD.ours1",55.12,30.14,12.08,2.32,0.24,
37,"MTD.ours2",2.48,35.38,45.96,13.66,2.52,0
37,"OBD.ours2",57.7,28.82,11.36,1.84,0.18,
37,"MTD.ours3",2.46,34.24,46.42,14.06,2.82,0
37,"OBD.ours3",54.88,28.88,12.2,3.44,0.48,
37,"MTD.titeet",13.5,41.7,33.2,10,1.6,0.2
37,"OBD.titeet",52.9,27.8,13.9,4.2,1,
37,"MTD.tite12",1,24.8,40.4,20.8,11.5,1.38
37,"OBD.tite12",46.5,28.8,15,6.6,1.8,
37,"MTD.bfet",,,,,,0.1
37,"OBD.bfet",57.7,30.2,9.6,2.2,0.3,
33,"MTD.ours0",0.14,1.86,23.36,56.64,18,0
33,"OBD.ours0",1.6,5.46,65.1,22.76,4.02,
33,"MTD.bf",0.14,2.22,23.22,56.58,17.84,0
33,"OBD.bf",2.32,4.7,64.04,23.22,4.88,
33,"MTD.ours1",0.22,2.2,23.28,55.72,18.54,0.04
33,"OBD.ours1",2.54,6.52,62.78,22.94,4.26,
33,"MTD.ours2",0.12,2.22,23.16,56.48,18.02,0
33,"OBD.ours2",2.54,5.72,63.72,22.68,4.3,
33,"MTD.ours3",0.12,2.24,21.78,57.4,18.46,0
33,"OBD.ours3",2.22,6.4,60.16,24.18,6.02,
33,"MTD.titeet",0,2.7,37.2,49.1,11,1
33,"OBD.titeet",8.8,11.6,50.4,22.1,6,
33,"MTD.tite12",0,1.4,19.4,38.9,39.6,0.64
33,"OBD.tite12",7.3,9.5,49.9,24.9,7.7,
33,"MTD.bfet",,,,,,1.2
33,"OBD.bfet",5,7.3,59.2,22.9,4.4,
34,"MTD.ours0",0,0.38,2.66,27.06,69.9,0
34,"OBD.ours0",1.72,5.02,10.36,60.46,21.98,
34,"MTD.bf",0,0.34,2.5,26.58,70.58,0
34,"OBD.bf",2.1,4.74,9.12,60.1,23.74,
34,"MTD.ours1",0,0.28,3.1,26.28,70.34,0
34,"OBD.ours1",1.94,5.76,10.26,57.98,23.44,
34,"MTD.ours2",0.02,0.32,2.78,26.42,70.46,0
34,"OBD.ours2",2.24,5.76,10.54,58.58,22.44,
34,"MTD.ours3",0,0.3,2.16,25.7,71.84,0
34,"OBD.ours3",1.84,5.42,9.78,55.98,26.56,
34,"MTD.titeet",0,0.3,4.2,44.6,50.8,0.2
34,"OBD.titeet",9.2,12.8,15.4,43.9,18.5,
34,"MTD.tite12",0,0.3,3.6,19,76.9,0.12
34,"OBD.tite12",7.2,10.7,11.9,50.3,19.9,
34,"MTD.bfet",,,,,,0.3
34,"OBD.bfet",4.4,7.5,12.6,56.2,18.9,
39,"MTD.ours0",0.06,6.42,41.9,38.32,13.3,0
39,"OBD.ours0",7.58,51.52,28.1,10.4,2.28,
39,"MTD.bf",0.16,5.66,43.7,37.28,13.2,0
39,"OBD.bf",5.7,51.94,28.68,10.5,3.14,
39,"MTD.ours1",0.16,5.3,41.56,38.94,14.04,0
39,"OBD.ours1",7.98,52.82,26.38,10.72,2,
39,"MTD.ours2",0.08,5.38,42.2,38.28,14.06,0
39,"OBD.ours2",7.92,51.7,27.58,10.66,2.06,
39,"MTD.ours3",0.14,5.84,41.52,37.98,14.52,0
39,"OBD.ours3",7.62,50.74,26.28,12.14,3.04,
39,"MTD.titeet",0.1,18.8,46.3,28.1,6.7,0.4
39,"OBD.titeet",16.6,44.8,23.3,11.8,3.1,
39,"MTD.tite12",0.1,5.4,28.9,34.8,30.7,0.2
39,"OBD.tite12",12.4,42.1,23.9,16.1,5.3,
39,"MTD.bfet",,,,,,0.2
39,"OBD.bfet",9.2,54.5,25.4,8.7,1.9,
38,"MTD.ours0",4.8,15.96,36.66,31.6,10.84,0.14
38,"OBD.ours0",44.62,30.08,17.88,6.16,1.04,
38,"MTD.bf",3.92,16.24,35.94,32.52,11.28,0.1
38,"OBD.bf",40.54,30.2,19.24,7.6,2.28,
38,"MTD.ours1",4.24,15.24,35.54,32.72,12.16,0.1
38,"OBD.ours1",44.68,30.34,16.4,7.46,1,
38,"MTD.ours2",4.36,15.54,35.02,32.98,12,0.1
38,"OBD.ours2",44.34,30.1,16.76,7.3,1.36,
38,"MTD.ours3",4.02,15.66,34.98,32.94,12.3,0.1
38,"OBD.ours3",42.84,29.16,17.38,8.22,2.22,
38,"MTD.titeet",18.4,32.2,30.3,15.7,3.3,0.1
38,"OBD.titeet",47.3,27.3,16.3,7.4,1.6,
38,"MTD.tite12",1.3,13.6,32.1,27.7,25,0.26
38,"OBD.tite12",35.8,26.9,19.3,13.1,4.7,
38,"MTD.bfet",,,,,,0.2
38,"OBD.bfet",53.2,28.4,12.6,4.7,0.9,
40,"MTD.ours0",1.08,6.86,24.48,32.5,35.02,0.06
40,"OBD.ours0",5.04,46.16,26.3,15.06,7.06,
40,"MTD.bf",0.82,6.46,24.52,33.2,35,0
40,"OBD.bf",4.18,45.64,26.22,16,7.86,
40,"MTD.ours1",1,6.16,23.76,32.7,36.34,0.04
40,"OBD.ours1",5.56,45.74,25.78,16.04,6.6,
40,"MTD.ours2",1.14,6.38,23.92,34,34.52,0.04
40,"OBD.ours2",5.62,47.12,25.46,16.02,5.5,
40,"MTD.ours3",0.9,6.3,24.2,32.44,36.16,0
40,"OBD.ours3",5,44.94,26.38,15.36,8.08,
40,"MTD.titeet",0.6,24.5,36.4,26.7,11.9,1
40,"OBD.titeet",12.6,44.7,23.6,13.3,4.8,
40,"MTD.tite12",0.1,4.4,18.1,27.7,49.5,0.32
40,"OBD.tite12",7.9,36.9,23.3,19.1,12.5,
40,"MTD.bfet",,,,,,1
40,"OBD.bfet",9.2,49.3,23.6,12.5,4.3,
