"setting.idx","method","Dose 1","Dose 2","Dose 3","Dose 4","Dose 5","EN","EN.Overdose","DLT_pts","duration"
39,"ours3.s1",8.44,12.35,12.45,7.74,2.79,43.77,2.79,0,26.65
39,"ours3.s2",0,0,0,0,0,0,0,0,0
39,"ours3.total",8.44,12.35,12.45,7.74,2.79,43.77,2.79,6.03,26.65
39,"titeet",4.6,10.9,8.6,4.4,1.5,30,1.5,4,23.79
39,"tite12",4.2,7,6.3,5.1,2.8,25.4,2.8,3.9,21.93
39,"bfet",6.66,11.42,11.88,7.44,3.03,40.43,3.03,5.61,22.8
38,"ours0.s1",12.01,12.25,10.68,6.27,2.1,43.31,2.1,0,31.98
38,"ours0.s2",0,0.01,0.14,0.32,0.12,0.6,0.12,0,0.5
38,"ours0.total",12.01,12.26,10.83,6.59,2.22,43.91,2.22,6.66,32.49
38,"bf.s1",11.32,12.82,11.18,6.63,2.18,44.12,2.18,0,32.23
38,"bf.s2",0,0,0,0,0,0,0,0,0
38,"bf.total",11.32,12.82,11.18,6.63,2.18,44.12,2.18,6.79,32.23
38,"ours1.s1",11.95,12.2,10.45,6.15,2.14,42.89,2.14,0,25.65
38,"ours1.s2",0.01,0.03,0.25,0.37,0.12,0.79,0.12,0,0.71
38,"ours1.total",11.96,12.23,10.7,6.52,2.27,43.68,2.27,6.64,26.36
38,"ours2.s1",11.84,12.19,10.62,6.3,2.27,43.22,2.27,0,26.29
38,"ours2.s2",0,0.03,0.24,0.45,0.13,0.84,0.13,0,0.73
38,"ours2.total",11.84,12.21,10.86,6.75,2.4,44.06,2.4,6.65,27.02
38,"ours3.s1",11.84,12.22,10.56,6.3,2.35,43.26,2.35,0,26.24
38,"ours3.s2",0,0,0,0,0,0,0,0,0
38,"ours3.total",11.84,12.22,10.56,6.3,2.35,43.26,2.35,6.66,26.24
38,"titeet",12.3,8.9,5.5,2.5,0.7,29.9,0.7,4,21.97
38,"tite12",6.6,6.1,4.9,3.9,2.1,23.6,2.1,3.8,20.01
38,"bfet",10.71,11.44,9.58,5.91,2.39,40.03,2.39,5.96,21.4
18,"ours0.s1",12.01,12.25,10.5,6.22,2.07,43.04,2.07,0,31.81
18,"ours0.s2",0,0.01,0.18,0.4,0.18,0.78,0.18,0,0.7
18,"ours0.total",12.01,12.26,10.68,6.62,2.26,43.82,2.26,6.64,32.5
18,"bf.s1",11.32,12.82,11.18,6.63,2.18,44.12,2.18,0,32.23
18,"bf.s2",0,0,0,0,0,0,0,0,0
18,"bf.total",11.32,12.82,11.18,6.63,2.18,44.12,2.18,6.79,32.23
18,"ours1.s1",11.95,12.17,10.48,6.23,2.3,43.13,2.3,0,25.7
18,"ours1.s2",0,0.02,0.28,0.57,0.26,1.14,0.26,0,0.97
18,"ours1.total",11.95,12.2,10.76,6.8,2.56,44.27,2.56,6.66,26.67
18,"ours2.s1",11.88,12.13,10.61,6.23,2.24,43.11,2.24,0,26.13
18,"ours2.s2",0,0.02,0.29,0.47,0.25,1.03,0.25,0,0.89
18,"ours2.total",11.89,12.15,10.9,6.7,2.49,44.13,2.49,6.67,27.02
18,"ours3.s1",11.83,12.23,10.57,6.29,2.31,43.24,2.31,0,26.21
18,"ours3.s2",0,0,0,0,0,0,0,0,0
18,"ours3.total",11.83,12.23,10.57,6.29,2.31,43.24,2.31,6.66,26.21
18,"titeet",12.3,8.9,5.5,2.5,0.7,29.9,0.7,4,21.97
18,"tite12",6.6,6.1,4.9,3.9,2.1,23.6,2.1,3.8,20.01
18,"bfet",10.71,11.44,9.58,5.91,2.39,40.03,2.39,5.96,21.4
40,"ours0.s1",8.94,12.19,11.67,8.53,4.46,45.8,-1,0,33.44
