"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"23","-4.24 (1.39, CI: -6.97, -1.52)","-7.11 (1.3, CI: -9.66, -4.55)","-10.03 (1.33, CI: -12.64, -7.42)","-13.08 (1.39, CI: -15.82, -10.35)","-16.19 (1.46, CI: -19.06, -13.32)","-19.13 (1.56, CI: -22.18, -16.08)","-21.67 (1.65, CI: -24.91, -18.44)","-23.71 (1.73, CI: -27.09, -20.33)","-25.28 (1.8, CI: -28.81, -21.75)","-26.44 (1.88, CI: -30.13, -22.75)","-27.25 (1.95, CI: -31.08, -23.42)","-27.78 (2.03, CI: -31.75, -23.81)","-28.12 (2.12, CI: -32.28, -23.96)","-233.85 (18.66, CI: -270.42, -197.27)","8.93",NA,""
"15","-3.3 (1.12, CI: -5.49, -1.12)","-6.32 (0.99, CI: -8.26, -4.38)","-9.33 (0.96, CI: -11.21, -7.45)","-12.32 (0.96, CI: -14.2, -10.44)","-15.23 (0.95, CI: -17.09, -13.36)","-17.92 (0.99, CI: -19.85, -15.99)","-20.26 (1.04, CI: -22.31, -18.21)","-22.19 (1.1, CI: -24.35, -20.03)","-23.74 (1.19, CI: -26.07, -21.42)","-24.98 (1.29, CI: -27.51, -22.45)","-25.93 (1.39, CI: -28.66, -23.2)","-26.68 (1.49, CI: -29.61, -23.75)","-27.27 (1.62, CI: -30.46, -24.09)","-220.18 (12.13, CI: -243.95, -196.42)","7.11",NA,""
"19","0.18 (0.2, CI: -0.22, 0.58)","-3.72 (0.27, CI: -4.25, -3.2)","-7.51 (0.47, CI: -8.44, -6.58)","-11.04 (0.67, CI: -12.35, -9.74)","-14.22 (0.84, CI: -15.86, -12.58)","-16.95 (1, CI: -18.91, -14.99)","-19.17 (1.13, CI: -21.4, -16.95)","-20.89 (1.23, CI: -23.31, -18.47)","-22.25 (1.32, CI: -24.84, -19.66)","-23.4 (1.39, CI: -26.13, -20.66)","-24.42 (1.46, CI: -27.28, -21.57)","-25.36 (1.52, CI: -28.33, -22.39)","-26.23 (1.58, CI: -29.33, -23.13)","-201.96 (11.72, CI: -224.94, -178.98)","0",NA,""
"9","-3.05 (1.09, CI: -5.19, -0.9)","-6.02 (1.02, CI: -8.02, -4.02)","-9.01 (1.07, CI: -11.1, -6.92)","-12.04 (1.14, CI: -14.28, -9.8)","-15.03 (1.23, CI: -17.43, -12.62)","-17.81 (1.33, CI: -20.42, -15.19)","-20.21 (1.43, CI: -23.02, -17.4)","-22.17 (1.52, CI: -25.15, -19.2)","-23.73 (1.6, CI: -26.87, -20.58)","-24.9 (1.69, CI: -28.22, -21.59)","-25.74 (1.77, CI: -29.21, -22.28)","-26.32 (1.84, CI: -29.93, -22.71)","-26.71 (1.94, CI: -30.51, -22.91)","-217.86 (16.1, CI: -249.41, -186.31)","7.02",NA,""
"18","-1.6 (1.37, CI: -4.29, 1.08)","-2.53 (1.19, CI: -4.86, -0.2)","-3.41 (1.12, CI: -5.6, -1.22)","-4.21 (1.09, CI: -6.35, -2.07)","-4.97 (1.13, CI: -7.19, -2.76)","-5.78 (1.24, CI: -8.21, -3.36)","-6.64 (1.38, CI: -9.34, -3.94)","-7.44 (1.55, CI: -10.48, -4.41)","-8.07 (1.75, CI: -11.51, -4.64)","-8.42 (1.97, CI: -12.28, -4.56)","-8.49 (2.19, CI: -12.78, -4.2)","-8.36 (2.42, CI: -13.1, -3.61)","-8.07 (2.68, CI: -13.32, -2.82)","-73.18 (16.29, CI: -105.09, -41.26)","9.96",NA,""
"1","-0.01 (0.41, CI: -0.82, 0.8)","-4.02 (0.39, CI: -4.78, -3.25)","-7.79 (0.48, CI: -8.74, -6.85)","-11.17 (0.57, CI: -12.29, -10.05)","-14.13 (0.69, CI: -15.48, -12.79)","-16.69 (0.81, CI: -18.29, -15.1)","-18.88 (0.94, CI: -20.73, -17.04)","-20.74 (1.08, CI: -22.85, -18.63)","-22.28 (1.22, CI: -24.67, -19.9)","-23.56 (1.35, CI: -26.21, -20.9)","-24.6 (1.48, CI: -27.5, -21.7)","-25.48 (1.61, CI: -28.63, -22.32)","-26.23 (1.75, CI: -29.67, -22.8)","-202.47 (11.17, CI: -224.36, -180.57)","2.38",NA,""
"24","-1.94 (1.14, CI: -4.17, 0.28)","-2.73 (1.07, CI: -4.83, -0.62)","-3.48 (1.18, CI: -5.79, -1.17)","-4.18 (1.33, CI: -6.78, -1.58)","-4.89 (1.5, CI: -7.83, -1.94)","-5.67 (1.69, CI: -8.99, -2.36)","-6.55 (1.87, CI: -10.21, -2.89)","-7.37 (2.04, CI: -11.38, -3.37)","-7.99 (2.24, CI: -12.39, -3.59)","-8.26 (2.47, CI: -13.09, -3.42)","-8.19 (2.72, CI: -13.52, -2.85)","-7.85 (3.02, CI: -13.77, -1.94)","-7.34 (3.36, CI: -13.94, -0.75)","-71.8 (21.4, CI: -113.74, -29.85)","7.75",NA,""
"17","-4.3 (1.36, CI: -6.96, -1.64)","-7.11 (1.22, CI: -9.5, -4.73)","-9.98 (1.17, CI: -12.28, -7.68)","-12.95 (1.16, CI: -15.21, -10.68)","-15.95 (1.14, CI: -18.17, -13.72)","-18.79 (1.15, CI: -21.04, -16.53)","-21.26 (1.19, CI: -23.59, -18.93)","-23.26 (1.23, CI: -25.67, -20.85)","-24.87 (1.3, CI: -27.41, -22.33)","-26.13 (1.39, CI: -28.85, -23.42)","-27.14 (1.48, CI: -30.03, -24.24)","-27.94 (1.57, CI: -31.02, -24.87)","-28.61 (1.7, CI: -31.93, -25.28)","-231.83 (13.88, CI: -259.03, -204.64)","8.75",NA,""
"2","0.04 (0.28, CI: -0.51, 0.59)","-0.78 (0.25, CI: -1.26, -0.29)","-1.39 (0.31, CI: -2, -0.78)","-1.67 (0.36, CI: -2.38, -0.95)","-1.79 (0.44, CI: -2.66, -0.92)","-1.96 (0.53, CI: -3, -0.93)","-2.21 (0.61, CI: -3.42, -1.01)","-2.48 (0.7, CI: -3.86, -1.1)","-2.71 (0.8, CI: -4.28, -1.13)","-2.83 (0.89, CI: -4.57, -1.09)","-2.84 (0.97, CI: -4.74, -0.94)","-2.78 (1.05, CI: -4.84, -0.72)","-2.66 (1.15, CI: -4.91, -0.41)","-24.75 (7.19, CI: -38.85, -10.65)","1.5",NA,""
"11","-4.24 (1.39, CI: -6.97, -1.52)","-7.11 (1.3, CI: -9.66, -4.55)","-10.03 (1.33, CI: -12.64, -7.42)","-13.08 (1.39, CI: -15.82, -10.35)","-16.19 (1.46, CI: -19.06, -13.32)","-19.13 (1.56, CI: -22.18, -16.08)","-21.67 (1.65, CI: -24.91, -18.44)","-23.71 (1.73, CI: -27.09, -20.33)","-25.28 (1.8, CI: -28.81, -21.75)","-26.44 (1.88, CI: -30.13, -22.75)","-27.25 (1.95, CI: -31.08, -23.42)","-27.78 (2.03, CI: -31.75, -23.81)","-28.12 (2.12, CI: -32.28, -23.96)","-233.85 (18.66, CI: -270.42, -197.27)","8.93",NA,""
